id,name,kind,latitude,longitude,belong_to
4987,dinslaken,city,51.56227,6.7434,38
4988,bergen,city,60.39299,5.32415,21
4989,chopinzinho,city,-25.856,-52.523,171
4990,kosice,city,48.71395,21.25808,12
4991,weiterstadt,city,49.9039,8.58874,38
4992,chorzow,city,50.30582,18.9742,31
4993,foligno,city,42.95324,12.70664,15
4994,cienfuegos,city,22.14957,-80.44662,125
4995,yopal,city,5.33775,-72.39586,138
4996,terni,city,42.56184,12.63667,15
4997,altinho,city,-8.49,-36.059,159
4998,teodoro sampaio,city,-22.533,-52.168,170
4999,forchheim,city,49.71754,11.05877,38
5000,charenton le pont,city,48.82209,2.41217,40
5001,lecco,city,45.85317,9.39005,15
5002,gandia,city,38.96667,-0.18333,41
5003,kaolack,city,14.1825,-16.25333,79
5004,sao joao da urtiga,city,-27.82,-51.828,172
5005,kano,city,12.00012,8.51672,85
5006,trondheim,city,63.43049,10.39506,21
5007,carbonia,city,39.16465,8.5213,15
5008,abreu e lima,city,-7.912,-34.903,159
5009,valenciennes,city,50.35,3.53333,40
5010,melbourne,city,-37.814,144.96332,109
5011,namur,city,50.4669,4.86746,32
5012,paderborn,city,51.71905,8.75439,38
5013,pedro afonso,city,-8.968,-48.175,153
5014,sainte foy les lyon,city,45.73692,4.79688,40
5015,acajutiba,city,-11.662,-38.017,155
5016,fort collins,city,40.58526,-105.08442,113
5017,chatellerault,city,46.8,0.53333,40
5018,bahia blanca,city,-38.71959,-62.27243,140
5019,wageningen,city,51.97,5.66667,29
5020,rancagua,city,-34.17083,-70.74444,133
5021,sao pedro do ivai,city,-23.865,-51.856,171
5022,barranquilla,city,10.96854,-74.78132,138
5023,queiroz,city,-21.799,-50.24,170
5024,umbuzeiro,city,-7.696,-35.664,158
5025,bom jesus da penha,city,-21.017,-46.523,168
5026,santa cecilia do pavao,city,-23.517,-50.784,171
5027,capanema,city,-25.672,-53.809,171
5028,ariquemes,city,-9.913,-63.041,149
5029,santa cruz do capibaribe,city,-7.957,-36.205,159
5030,parauna,city,-16.948,-50.449,164
5031,santa tecla,city,13.67694,-89.27972,126
5032,charqueada,city,-22.51,-47.778,170
5033,treviso,city,-28.516,-49.458,173
5034,lajedo,city,-8.664,-36.32,159
5035,primeira cruz,city,-2.51,-43.438,157
5036,venado tuerto,city,-33.74556,-61.96885,140
5037,fontainebleau,city,48.4,2.7,40
5038,wroclaw,city,51.1,17.03333,31
5039,louveira,city,-23.086,-46.951,170
5040,saboeiro,city,-6.542,-39.907,156
5041,iconha,city,-20.793,-40.811,167
5042,pirapo,city,-28.045,-55.199,172
5043,lemgo,city,52.02786,8.89901,38
5044,encarnacion,city,-27.33056,-55.86667,134
5045,aurelino leal,city,-14.317,-39.327,155
5046,denver,city,39.73915,-104.9847,113
5047,mendonca,city,-21.167,-49.581,170
5048,oliveira dos brejinhos,city,-12.317,-42.896,155
5049,westerstede,city,53.25682,7.92737,38
5050,coronel sapucaia,city,-23.272,-55.529,166
5051,mairinque,city,-23.546,-47.183,170
5052,itaporanga,city,-23.708,-49.49,170
5053,santa maria madalena,city,-21.955,-42.008,169
5054,sao marcos,city,-28.971,-51.068,172
5055,chiapetta,city,-27.923,-53.941,172
5056,apodi,city,-5.664,-37.799,160
5057,guaranta,city,-21.895,-49.59,170
5058,itaruma,city,-18.769,-51.348,164
5059,dionisio,city,-19.843,-42.777,168
5060,corrente,city,-10.443,-45.162,162
5061,ibiquera,city,-12.651,-40.934,155
5062,bom jesus da serra,city,-14.372,-40.504,155
5063,iacri,city,-21.858,-50.689,170
5064,saint mande,city,48.83864,2.41579,40
5065,hong kong,city,22.28552,114.15769,63
5066,belem de maria,city,-8.614,-35.809,159
5067,cacique doble,city,-27.77,-51.66,172
5068,sao joao dos patos,city,-6.495,-43.702,157
5069,itatinga,city,-23.102,-48.616,170
5070,carmopolis de minas,city,-20.541,-44.635,168
5071,piloes,city,-6.269,-38.043,160
5072,saint martin d heres,city,45.16528,5.76337,40
5073,domingos martins,city,-20.363,-40.659,167
5074,curuca,city,-0.734,-47.855,152
5075,teixeira soares,city,-25.368,-50.461,171
5076,miradouro,city,-20.891,-42.343,168
5077,bocaiuva do sul,city,-25.206,-49.115,171
5078,itueta,city,-19.394,-41.17,168
5079,cedro de sao joao,city,-10.252,-36.884,161
5080,ouro preto do oeste,city,-10.716,-62.248,149
5081,primeiro de maio,city,-22.851,-51.028,171
5082,luis gomes,city,-6.414,-38.389,160
5083,ibiuna,city,-23.656,-47.223,170
5084,paranapua,city,-20.103,-50.586,170
5085,alianca,city,-7.603,-35.231,159
5086,triunfo,city,-7.838,-38.102,159
5087,itatira,city,-4.529,-39.622,156
5088,amaraji,city,-8.383,-35.453,159
5089,piratuba,city,-27.42,-51.772,173
5090,nazareno,city,-21.216,-44.611,168
5091,correntes,city,-9.129,-36.33,159
5092,mirabela,city,-16.263,-44.164,168
5093,teixeira,city,-7.223,-37.254,158
5094,sao joao do jaguaribe,city,-5.271,-38.274,156
5095,embu,city,-23.649,-46.852,170
5096,patu,city,-6.11,-37.637,160
5097,tupassi,city,-24.588,-53.512,171
5098,anhumas,city,-22.295,-51.387,170
5099,exu,city,-7.512,-39.724,159
5100,quinta do sol,city,-23.852,-52.13,171
5101,rio claro,city,-22.723,-44.136,169
5102,sao jose do cerrito,city,-27.663,-50.58,173
5103,machacalis,city,-17.077,-40.716,168
5104,mar vermelho,city,-9.448,-36.388,154
5105,sao jose de uba,city,-21.358,-41.943,169
5106,gabriel monteiro,city,-21.531,-50.555,170
5107,jeronimo monteiro,city,-20.789,-41.395,167
5108,lagoa,city,-6.571,-37.916,158
5109,mineiros do tiete,city,-22.409,-48.451,170
5110,pouso redondo,city,-27.258,-49.934,173
5111,oleo,city,-22.941,-49.342,170
5112,palmacia,city,-4.15,-38.846,156
5113,brejo da madre de deus,city,-8.146,-36.371,159
5114,alagoinha do piaui,city,-7.008,-40.939,162
5115,juarez tavora,city,-7.172,-35.583,158
5116,pote,city,-17.807,-41.786,168
5117,guaraniacu,city,-25.101,-52.878,171
5118,araquari,city,-26.37,-48.722,173
5119,catigua,city,-21.049,-49.058,170
5120,axixa,city,-2.837,-44.053,157
5121,jaciara,city,-15.965,-54.968,165
5122,barrinha,city,-21.194,-48.164,170
5123,lille,city,50.63297,3.05858,40
5124,carnaiba,city,-7.805,-37.794,159
5125,sao joao do cariri,city,-7.391,-36.533,158
5126,correntina,city,-13.343,-44.637,155
5127,eneas marques,city,-25.942,-53.164,171
5128,juramento,city,-16.848,-43.587,168
5129,goiana,city,-7.561,-35.003,159
5130,riacho dos machados,city,-16.006,-43.049,168
5131,tiros,city,-19.004,-45.964,168
5132,rolante,city,-29.651,-50.576,172
5133,planalto,city,-21.034,-49.929,170
5134,mairi,city,-11.711,-40.149,155
5135,guaraciaba,city,-26.599,-53.518,173
5136,mostardas,city,-31.107,-50.921,172
5137,castrovillari,city,39.81949,16.21467,15
5138,gurinhata,city,-19.213,-49.786,168
5139,turmalina,city,-17.286,-42.73,168
5140,castro alves,city,-12.766,-39.428,155
5141,taguai,city,-23.452,-49.409,170
5142,suez,city,29.97371,32.52627,81
5143,atalanta,city,-27.42,-49.781,173
5144,arenapolis,city,-14.45,-56.846,165
5145,moju,city,-1.884,-48.769,152
5146,santa maria da serra,city,-22.567,-48.161,170
5147,porto real do colegio,city,-10.186,-36.84,154
5148,salto veloso,city,-26.905,-51.406,173
5149,itiuba,city,-10.691,-39.853,155
5150,placido de castro,city,-10.335,-67.184,147
5151,nova venecia,city,-18.711,-40.401,167
5152,francisco santos,city,-6.993,-41.138,162
5153,caucaia,city,-3.733,-38.656,156
5154,lagoa salgada,city,-6.134,-35.494,160
5155,jardim,city,-7.582,-39.298,156
